"YEAR","SAMPLE","SERIAL","CBSERIAL","NUMPREC","HHWT","CLUSTER","STATEICP","CITY","STRATA","GQ","HHINCOME","COUPLETYPE","PERNUM","PERWT","SFTYPE","SFRELATE","CBSUBFAM","CBSFTYPE","CBSFRELATE","MOMLOC","MOMRULE","POPLOC","POPRULE","SPLOC","SPRULE","RELATE","RELATED","SEX","AGE","MARST","MARRNO","MARRINYR","YRMARR","FERTYR","RACE","RACED","EDUC","EDUCD","DEGFIELD","DEGFIELDD","DEGFIELD2","DEGFIELD2D","EMPSTAT","EMPSTATD","LABFORCE","INCTOT","TRANWORK","TRANTIME","DEPARTS","ARRIVES","mom","dad","parent"
2022,202201,895128,2022000078146,7,381,2022008951281,13,7590,311236,1,80700,1,4,218,0,0,0,0,0,1,11,2,11,0,0,3,301,2,1,6,0,0,0,0,1,100,0,1,0,0,0,0,0,0,0,9999999,0,0,0,0,1,1,1
2022,202201,557495,2022000198117,4,80,2022005574951,32,6990,60120,1,486000,1,2,81,0,0,0,0,0,0,0,0,0,1,11,2,201,1,48,1,1,1,1994,0,1,100,11,115,26,2602,0,0,1,10,2,486000,10,15,702,719,0,0,0
2022,202201,637629,2022001037753,4,153,2022006376291,52,0,100224,1,233000,1,4,222,0,0,0,0,0,2,11,1,11,0,0,3,301,1,21,6,0,0,0,0,1,100,2,25,0,0,0,0,3,30,1,0,0,0,0,0,1,1,1
2022,202201,691586,2022000290224,2,60,2022006915861,23,0,110026,1,88600,1,2,44,0,0,0,0,0,0,0,0,0,1,11,2,201,2,68,1,1,1,1969,0,1,100,6,63,0,0,0,0,3,30,1,20900,0,0,0,0,0,0,0
2022,202201,1428197,2022001396360,1,101,2022014281971,40,0,1070151,1,504300,0,1,101,0,0,0,0,0,0,0,0,0,0,0,1,101,2,75,5,1,1,1979,0,1,100,10,101,64,6402,0,0,3,30,1,504300,0,0,0,0,0,0,0
2022,202201,785651,2022000912313,4,15,2022007856511,34,0,10029,1,67000,1,2,32,0,0,0,0,0,0,0,0,0,1,11,2,201,1,37,1,1,1,2012,0,1,100,6,65,0,0,0,0,1,10,2,38000,10,60,532,634,0,0,0
2022,202201,677916,2022001426311,4,116,2022006779161,3,0,40125,1,63000,0,2,98,0,0,0,0,0,0,0,0,0,0,0,10,1001,1,63,4,1,1,1992,0,9,904,3,30,0,0,0,0,3,30,1,19000,0,0,0,0,0,0,0
2022,202201,1150676,2022000635525,4,66,2022011506761,14,0,151242,1,171200,1,2,69,0,0,0,0,0,0,0,0,0,1,11,2,201,1,60,1,1,1,1990,0,1,100,11,114,52,5200,62,6200,1,10,2,81200,10,10,802,814,0,0,0
2022,202201,475406,2022000569039,4,273,2022004754061,21,0,310217,1,68000,3,4,239,5,3,0,0,0,1,11,2,11,0,0,3,301,2,1,6,0,0,0,0,7,700,0,1,0,0,0,0,0,0,0,9999999,0,0,0,0,1,1,1
2022,202201,1469148,2022000602338,2,89,2022014691481,56,0,120054,1,70800,1,2,67,0,0,0,0,0,0,0,0,0,1,11,2,201,2,94,1,2,1,1948,0,1,100,6,63,0,0,0,0,3,30,1,32400,0,0,0,0,0,0,0
2022,202201,435946,2022010102407,1,88,2022004359461,82,0,30615,3,9999999,0,1,88,0,0,0,0,0,0,0,0,0,0,0,13,1301,1,31,2,1,1,2018,0,8,821,6,64,0,0,0,0,3,30,1,0,0,0,0,0,0,0,0
2022,202201,1395759,2022000053102,4,260,2022013957591,40,0,1070151,1,330000,1,3,267,0,0,0,0,0,1,11,2,11,0,0,3,301,1,12,6,0,0,0,0,1,100,2,22,0,0,0,0,0,0,0,9999999,0,0,0,0,1,1,1
2022,202201,728731,2022000039716,4,139,2022007287311,33,4150,160827,1,239800,1,4,92,0,0,0,0,0,1,11,2,11,0,0,3,301,1,15,6,0,0,0,0,1,100,2,26,0,0,0,0,0,0,0,800,0,0,0,0,1,1,1
2022,202201,1151553,2022000658908,2,102,2022011515531,14,0,60042,1,92000,1,1,103,0,0,0,0,0,0,0,0,0,2,11,1,101,1,61,1,1,1,2000,0,1,100,6,63,0,0,0,0,1,10,2,88700,31,25,732,759,0,0,0
2022,202201,951799,2022001117440,2,15,2022009517991,13,0,30036,1,32900,1,2,19,0,0,0,0,0,0,0,0,0,1,11,2,201,1,80,1,1,1,1963,0,1,100,6,63,0,0,0,0,3,30,1,24900,0,0,0,0,0,0,0
2022,202201,1389188,2022001338940,3,71,2022013891881,6,0,40050,1,384000,1,3,41,0,0,0,0,0,2,11,1,11,0,0,3,301,2,16,6,0,0,0,1,1,100,4,40,0,0,0,0,1,10,2,6000,60,10,1015,1029,1,1,1
2022,202201,877056,2022001349562,4,176,2022008770561,66,0,70535,1,80000,1,1,177,0,0,0,0,0,0,0,0,0,2,11,1,101,2,35,1,1,1,2009,1,8,845,7,71,0,0,0,0,3,30,1,0,0,0,0,0,0,0,0
2022,202201,627295,2022000424877,1,132,2022006272951,52,0,100124,1,69000,0,1,132,0,0,0,0,0,0,0,0,0,0,0,1,101,1,28,6,0,0,0,0,1,100,11,114,50,5007,24,2414,1,10,2,69000,80,0,0,0,0,0,0
